z rho cpa p g kappa mu bulk wx wy cp cv gamma
0.000000e+00 1.126052e+00 3.438776e+02 9.519060e+04 9.804761e+00 0.000000e+00 0.000000e+00 0.000000e+00 -7.485886e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
6.122449e+02 1.126052e+00 3.438776e+02 9.519060e+04 9.804761e+00 0.000000e+00 0.000000e+00 0.000000e+00 -7.485886e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
6.360095e+02 1.123302e+00 3.438245e+02 9.492854e+04 9.804688e+00 0.000000e+00 0.000000e+00 0.000000e+00 -7.480171e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
6.597741e+02 1.120559e+00 3.437710e+02 9.466713e+04 9.804615e+00 0.000000e+00 0.000000e+00 0.000000e+00 -7.472926e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
6.835387e+02 1.117825e+00 3.437171e+02 9.440636e+04 9.804541e+00 0.000000e+00 0.000000e+00 0.000000e+00 -7.464003e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
7.073033e+02 1.115099e+00 3.436629e+02 9.414622e+04 9.804468e+00 0.000000e+00 0.000000e+00 0.000000e+00 -7.453249e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
7.310679e+02 1.112380e+00 3.436083e+02 9.388672e+04 9.804395e+00 0.000000e+00 0.000000e+00 0.000000e+00 -7.440514e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
7.548325e+02 1.109670e+00 3.435534e+02 9.362786e+04 9.804321e+00 0.000000e+00 0.000000e+00 0.000000e+00 -7.425649e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
7.785972e+02 1.106968e+00 3.434981e+02 9.336963e+04 9.804248e+00 0.000000e+00 0.000000e+00 0.000000e+00 -7.408501e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
8.023618e+02 1.104273e+00 3.434424e+02 9.311203e+04 9.804175e+00 0.000000e+00 0.000000e+00 0.000000e+00 -7.388921e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
8.261264e+02 1.101587e+00 3.433864e+02 9.285506e+04 9.804102e+00 0.000000e+00 0.000000e+00 0.000000e+00 -7.366759e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
8.498910e+02 1.098908e+00 3.433300e+02 9.259872e+04 9.804028e+00 0.000000e+00 0.000000e+00 0.000000e+00 -7.341863e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
8.736556e+02 1.096238e+00 3.432732e+02 9.234300e+04 9.803955e+00 0.000000e+00 0.000000e+00 0.000000e+00 -7.314083e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
